name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Saquon Barkley";"PHI";"RB";27.8;7257;"4866";"13604";10842;1;1;1202
"Ja'Marr Chase";"CIN";"WR";24.8;5856;"7564";"15281";10593;2;1;804
"Bijan Robinson";"ATL";"RB";22.8;9833;"9509";"16161";9662;3;2;558
"Justin Jefferson";"MIN";"WR";25.5;7569;"6794";"14836";9210;4;2;-1233
"Amon-Ra St. Brown";"DET";"WR";25.1;1527;"7547";"15287";8935;5;3;1345
"Derrick Henry";"BAL";"RB";30.9;5421;"3198";"12626";8668;6;3;-1115
"Jahmyr Gibbs";"DET";"RB";22.7;9821;"9221";"16162";8109;7;4;113
"Joe Mixon";"HOU";"RB";28.4;4578;"4018";"13131";8095;8;5;1531
"Nico Collins";"HOU";"WR";25.7;5030;"7569";"15290";8091;9;4;1089
"A.J. Brown";"PHI";"WR";27.4;4118;"5859";"14104";7870;10;5;-76
"De'Von Achane";"MIA";"RB";23.1;9969;"9226";"16167";7761;11;6;1209
"Puka Nacua";"LAR";"WR";23.5;9822;"9493";"16211";7726;12;6;1646
"Alvin Kamara";"NO";"RB";29.4;4144;"4035";"13132";7556;13;7;781
"Breece Hall";"NYJ";"RB";23.5;4576;"8155";"15708";7446;14;8;-246
"CeeDee Lamb";"DAL";"WR";25.7;4835;"6786";"14832";6717;15;7;-2527
"Lamar Jackson";"BAL";"QB";27.9;3101;"4881";"13593";6712;16;1;-30
"Kyren Williams";"LAR";"RB";24.3;7315;"8150";"15710";6696;17;9;-1744
"Cooper Kupp";"LAR";"WR";31.5;5586;"4039";"13164";6439;18;8;1198
"Josh Jacobs";"GB";"RB";26.8;1326;"5850";"14073";6344;19;10;1310
"Josh Allen";"BUF";"QB";28.5;6170;"4984";"13589";5999;20;2;-166
"Jalen Hurts";"PHI";"QB";26.3;6407;"6904";"14783";5876;21;3;965
"Drake London";"ATL";"WR";23.4;998;"8112";"15751";5575;22;9;-136
"Brock Bowers";"LV";"TE";22;11702;"11604";"16641";5512;23;1;1433
"Tyreek Hill";"MIA";"WR";30.8;7958;"3321";"12801";5352;24;10;-1579
"Malik Nabers";"NYG";"WR";21.4;11737;"11632";"16615";5194;25;11;-1044
"Kenneth Walker";"SEA";"RB";24.1;1749;"8151";"15711";5187;26;11;-1182
"James Cook";"BUF";"RB";25.2;182;"8138";"15715";5182;27;12;-134
"Mike Evans";"TB";"WR";31.3;7495;"2216";"11671";5104;28;12;2268
"Chase Brown";"CIN";"RB";24.7;9967;"9224";"16181";4989;29;13;3501
"Jonathan Taylor";"IND";"RB";25.9;3046;"6813";"14802";4953;30;14;-1797
"Tee Higgins";"CIN";"WR";25.9;5531;"6801";"14835";4941;31;13;1853
"Terry McLaurin";"WAS";"WR";29.2;4864;"5927";"14109";4893;32;14;580
"David Montgomery";"DET";"RB";27.5;7515;"5892";"14071";4804;33;15;495
"Travis Kelce";"KC";"TE";35.2;2204;"1466";"11244";4724;34;2;1720
"George Kittle";"SF";"TE";31.2;5709;"4217";"13299";4621;35;3;52
"Joe Burrow";"CIN";"QB";28;1002;"6770";"14777";4593;36;4;1435
"Garrett Wilson";"NYJ";"WR";24.4;6813;"8146";"15753";4577;37;15;181
"Trey McBride";"ARI";"TE";25;7325;"8130";"15794";4428;38;4;1518
"James Conner";"ARI";"RB";29.6;7447;"4137";"13146";4350;39;16;460
"DK Metcalf";"SEA";"WR";27;5240;"5846";"14102";4162;40;16;-200
"George Pickens";"PIT";"WR";23.8;1436;"8137";"15762";3836;41;17;1304
"Chuba Hubbard";"CAR";"RB";25.5;183;"7594";"15261";3704;42;17;2495
"Jaxon Smith-Njigba";"SEA";"WR";22.8;9924;"9488";"16185";3512;43;18;2418
"Zay Flowers";"BAL";"WR";24.2;9930;"9997";"16190";3506;44;19;1161
"Aaron Jones";"MIN";"RB";30;2382;"4199";"13319";3422;45;18;-1422
"Ladd McConkey";"LAC";"WR";23.1;11766;"11635";"16627";3347;46;20;1680
"Marvin Harrison Jr";"ARI";"WR";22.3;11734;"11628";"16614";3345;47;21;-756
"Isiah Pacheco";"KC";"RB";25.8;3777;"8205";"15749";3317;48;19;833
"Courtland Sutton";"DEN";"WR";29.2;818;"5045";"13630";3276;49;22;2346
"Jayden Daniels";"WAS";"QB";24;11701;"11566";"16581";3257;50;5;-704
"Baker Mayfield";"TB";"QB";29.6;2737;"4892";"13590";3211;51;6;967
"Davante Adams";"LV";"WR";32;1503;"2133";"11675";3139;52;23;-25
"Patrick Mahomes";"KC";"QB";29.2;880;"4046";"13116";2938;53;7;311
"Bucky Irving";"TB";"RB";22.3;11779;"11584";"16598";2900;54;20;1633
"Brian Thomas";"JAX";"WR";22.2;11726;"11631";"16618";2891;55;24;-720
"Brian Robinson";"WAS";"RB";25.7;4174;"8154";"15716";2837;56;21;36
"Kyler Murray";"ARI";"QB";27.3;3544;"5849";"14056";2829;57;8;169
"DJ Moore";"CHI";"WR";27.6;6110;"4983";"13635";2755;58;25;378
"Jayden Reed";"GB";"WR";24.6;9863;"10222";"16184";2687;59;26;-428
"Tony Pollard";"TEN";"RB";27.6;407;"5967";"14085";2673;60;22;199
"Jordan Love";"GB";"QB";26.1;3651;"6804";"14782";2615;61;9;-136
"C.J. Stroud";"HOU";"QB";23.2;9838;"9758";"16150";2482;62;10;482
"Najee Harris";"PIT";"RB";26.7;7252;"7528";"15254";2457;63;23;9
"Justin Herbert";"LAC";"QB";26.7;8448;"6797";"14779";2423;64;11;1864
"Deebo Samuel";"SF";"WR";28.9;2495;"5872";"14136";2415;65;27;-1294
"Tyrone Tracy";"NYG";"RB";25;12123;"11655";"16747";2357;66;24;474
"D'Andre Swift";"CHI";"RB";25.9;1574;"6790";"14797";2349;67;25;-1756
"Calvin Ridley";"TEN";"WR";30;41;"4981";"13629";2340;68;28;988
"Rhamondre Stevenson";"NE";"RB";26.8;4294;"7611";"15259";2300;69;26;173
"DeVonta Smith";"PHI";"WR";26.1;6635;"7525";"15282";2238;70;29;-2121
"Rachaad White";"TB";"RB";25.9;2187;"8136";"15721";2218;71;27;433
"T.J. Hockenson";"MIN";"TE";27.4;8215;"5844";"14138";2090;72;5;756
"Brock Purdy";"SF";"QB";24.9;5570;"8183";"15698";2022;73;12;513
"Bo Nix";"DEN";"QB";24.8;11728;"11563";"16582";2009;74;13;1286
"DeAndre Hopkins";"TEN";"WR";32.5;4681;"1426";"11232";1904;75;30;540
"Darnell Mooney";"ATL";"WR";27.1;3901;"7090";"14974";1857;76;31;281
"Jaylen Waddle";"MIA";"WR";26;1409;"7526";"15284";1836;77;32;-353
"David Njoku";"CLE";"TE";28.4;6513;"4033";"13192";1800;78;6;90
"Tank Dell";"HOU";"WR";25.1;9950;"9502";"16204";1760;79;33;-218
"Nick Chubb";"CLE";"RB";28.9;4188;"4988";"13610";1758;80;28;-220
"Jauan Jennings";"SF";"WR";27.4;2631;"7049";"14860";1728;81;34;1159
"Josh Downs";"IND";"WR";23.3;9936;"9500";"16187";1659;82;35;-349
"Cade Otton";"TB";"TE";25.6;2021;"8111";"15802";1602;83;7;506
"Amari Cooper";"CLE";"WR";30.5;2301;"2309";"12175";1541;84;36;-392
"Jakobi Meyers";"LV";"WR";28.1;2463;"5947";"14127";1529;85;37;293
"Rome Odunze";"CHI";"WR";22.5;11763;"11620";"16616";1520;86;38;545
"Jameson Williams";"DET";"WR";23.7;1100;"8148";"15756";1502;87;39;480
"Jared Goff";"DET";"QB";30.1;8587;"3163";"12611";1486;88;14;106
"Michael Pittman";"IND";"WR";27.2;8259;"6819";"14842";1442;89;40;-186
"Sam LaPorta";"DET";"TE";23.9;9843;"10859";"16214";1434;90;8;-41
"Chris Olave";"NO";"WR";24.4;2548;"8144";"15754";1402;91;41;-2540
"Jerry Jeudy";"CLE";"WR";25.6;2427;"6783";"14833";1371;92;42;809
"Mark Andrews";"BAL";"TE";29.2;4519;"5012";"13671";1370;93;9;93
"Travis Etienne";"JAX";"RB";25.9;3156;"7543";"15253";1363;94;29;-483
"Khalil Shakir";"BUF";"WR";24.8;8607;"8134";"15761";1340;95;43;16
"Dallas Goedert";"PHI";"TE";29.9;5988;"5022";"13674";1309;96;10;822
"Javonte Williams";"DEN";"RB";24.6;6963;"7588";"15256";1289;97;30;15
"Tua Tagovailoa";"MIA";"QB";26.8;6092;"6768";"14778";1135;98;15;548
"Jordan Addison";"MIN";"WR";22.9;9847;"9756";"16186";1133;99;44;495
"Kyle Pitts";"ATL";"TE";24.2;280;"7553";"15329";1112;100;11;-321
"Rico Dowdle";"DAL";"RB";26.5;1465;"7021";"14823";1103;101;31;387
"Keenan Allen";"CHI";"WR";32.6;1334;"1479";"11222";1074;102;45;76
"Kareem Hunt";"null";"RB";29.3;6621;"4098";"13138";1069;103;32;-415
"Jonnu Smith";"MIA";"TE";29.3;4185;"4144";"13193";1038;104;12;961
"Jonathon Brooks";"CAR";"RB";21.4;11725;"11583";"16597";959;105;33;-233
"Jaylen Warren";"PIT";"RB";26.1;6285;"8228";"15742";923;106;34;612
"Evan Engram";"JAX";"TE";30.3;3648;"4066";"13189";919;107;13;-844
"Anthony Richardson";"IND";"QB";22.5;9951;"9229";"16152";894;108;16;537
"Cedric Tillman";"CLE";"WR";24.6;9904;"10444";"16191";874;109;46;33
"Kirk Cousins";"ATL";"QB";36.3;536;"1166";"10700";812;110;17;5
"Xavier Worthy";"KC";"WR";21.6;11736;"11624";"16620";805;111;47;-136
"Christian Watson";"GB";"WR";25.6;5981;"8167";"15789";805;112;48;509
"Gus Edwards";"LAC";"RB";29.6;4539;"5248";"13850";749;113;35;749
"Zach Ertz";"WAS";"TE";34.1;324;"1339";"11247";732;114;14;328
"Dalton Kincaid";"BUF";"TE";25.1;9819;"10236";"16213";718;115;15;-475
"Quentin Johnston";"LAC";"WR";23.2;9879;"9754";"16188";641;116;49;571
"Matthew Stafford";"LAR";"QB";36.8;3611;"421";"9431";608;117;18;116
"Tucker Kraft";"GB";"TE";24.1;9824;"9484";"16222";603;118;16;-228
"Drake Maye";"NE";"QB";22.3;11696;"11564";"16580";598;119;19;232
"Xavier Legette";"CAR";"WR";23.8;11718;"11626";"16639";591;120;50;18
"Alexander Mattison";"LV";"RB";26.5;7600;"5987";"14223";574;121;36;-292
"Russell Wilson";"PIT";"QB";36;8651;"1234";"10703";573;122;20;267
"Ricky Pearsall";"SF";"WR";24.2;11752;"11638";"16622";571;123;51;6
"Sam Darnold";"MIN";"QB";27.5;8007;"4943";"13592";565;124;21;-47
"Will Dissly";"LAC";"TE";28.4;8420;"5010";"13763";535;125;17;535
"Geno Smith";"SEA";"QB";34.2;6305;"1373";"11150";525;126;22;-178
"Hunter Henry";"NE";"TE";30;675;"3214";"12676";518;127;18;262
"Caleb Williams";"CHI";"QB";23;11708;"11560";"16579";513;128;23;-1070
"Tyler Lockett";"SEA";"WR";32.2;2019;"2374";"12187";500;129;52;-133
"Keon Coleman";"BUF";"WR";21.6;11716;"11637";"16617";496;130;53;-436
"Trey Benson";"ARI";"RB";22.4;11758;"11589";"16594";486;131;37;442
"Jordan Mason";"SF";"RB";25.5;5469;"8408";"15972";473;132;38;-258
"Jake Ferguson";"DAL";"TE";25.9;6785;"8110";"15799";458;133;19;-417
"Braelon Allen";"NYJ";"RB";20.9;11748;"11576";"16596";424;134;39;157
"Wan'Dale Robinson";"NYG";"WR";23.9;4091;"8126";"15757";419;135;54;-50
"Tank Bigsby";"JAX";"RB";23.3;9925;"9225";"16164";386;136;40;-383
"Zach Charbonnet";"SEA";"RB";23.9;9921;"9753";"16169";376;137;41;-5
"Romeo Doubs";"GB";"WR";24.6;2419;"8121";"15779";371;138;55;-295
"Adam Thielen";"CAR";"WR";34.3;4811;"1689";"11938";359;139;56;212
"Diontae Johnson";"CAR";"WR";28.4;4373;"5937";"14208";348;140;57;-1038
"Raheem Mostert";"MIA";"RB";32.7;6259;"2749";"12447";318;141;42;-692
"DeMario Douglas";"NE";"WR";24;9840;"9501";"16342";315;142;58;66
"Marquez Valdes-Scantling";"BUF";"WR";30.2;5958;"5086";"13793";303;143;59;303
"Audric Estime";"DEN";"RB";21.2;11776;"11579";"16595";303;144;43;303
"Ameer Abdullah";"LV";"RB";31.5;2516;"2359";"12155";301;145;44;301
"Tyler Allgeier";"ATL";"RB";24.6;6408;"8132";"15712";287;146;45;-76
"Aaron Rodgers";"NYJ";"QB";41;715;"96";"7836";281;147;24;-82
"Rashod Bateman";"BAL";"WR";25;7410;"7571";"15293";271;148;60;-7
"Nick Westbrook-Ikhine";"TEN";"WR";27.7;4872;"7496";"15109";262;149;61;262
"Trevor Lawrence";"JAX";"QB";25.2;1086;"7523";"15237";261;150;25;-93
"Dalton Schultz";"HOU";"TE";28.4;4655;"5001";"13772";258;151;20;16
"Cole Kmet";"CHI";"TE";25.7;4857;"6826";"14867";248;152;21;-391
"Roschon Johnson";"CHI";"RB";23.8;9926;"10235";"16175";241;153;46;159
"Jameis Winston";"CLE";"QB";30.9;794;"2306";"12140";199;154;26;-133
"Tyjae Spears";"TEN";"RB";23.5;9817;"9508";"16165";197;155;47;-23
"Elijah Moore";"CLE";"WR";24.7;4250;"7596";"15288";173;156;62;-51
"Derek Carr";"NO";"QB";33.7;1954;"2028";"11644";169;157;27;13
"Pat Freiermuth";"PIT";"TE";26.1;2550;"7600";"15331";167;158;22;-27
"Will Levis";"TEN";"QB";25.4;9901;"9999";"16149";152;159;28;127
"Cam Akers";"MIN";"RB";25.5;2937;"6938";"14799";150;160;48;150
"Justice Hill";"BAL";"RB";27.1;5156;"5995";"14086";147;161;49;10
"Jerome Ford";"CLE";"RB";25.2;8319;"8143";"15713";145;162;50;39
"Devin Singletary";"NYG";"RB";27.3;8347;"6130";"14080";143;163;51;-233
"Bryce Young";"CAR";"QB";23.4;9944;"9228";"16148";133;164;29;133
"Blake Corum";"LAR";"RB";24;11747;"11586";"16593";130;165;52;29
"Tommy DeVito";"NYG";"QB";26.3;11533;"11292";"16441";126;166;30;126
"Ray Davis";"BUF";"RB";25.1;11699;"11575";"16603";113;167;53;-49
"Cooper Rush";"DAL";"QB";31;157;"4574";"13124";111;168;31;111
"Alec Pierce";"IND";"WR";24.6;5433;"8142";"15768";108;169;63;72
"Isaiah Likely";"BAL";"TE";24.6;7402;"8131";"15798";102;170;23;1
"Jalen McMillan";"TB";"WR";23;11754;"11618";"16628";91;171;64;-269
"Jalen Tolbert";"DAL";"WR";25.8;2144;"8117";"15788";80;172;65;-100
"Devaughn Vele";"DEN";"WR";27;11908;"11834";"16788";70;173;66;70
"Demarcus Robinson";"LAR";"WR";30.2;448;"3286";"12785";70;174;67;70
"Adonai Mitchell";"IND";"WR";22.2;11711;"11625";"16626";52;175;68;52
"Mike Gesicki";"CIN";"TE";29.2;7291;"4993";"13672";51;176;24;51
"Gardner Minshew";"LV";"QB";28.6;7783;"6011";"14067";47;177;32;7
"Darius Slayton";"NYG";"WR";27.9;6028;"6149";"14122";45;178;69;-70
"Ray-Ray McCloud";"ATL";"WR";28.1;6900;"5096";"13641";43;179;70;43
"Luke Schoonmaker";"DAL";"TE";26.2;11006;"10871";"16221";37;180;25;37
"Brandon Allen";"SF";"QB";32.3;7115;"3357";"12621";34;181;33;34
"Kimani Vidal";"LAC";"RB";23.3;11790;"11647";"16757";28;182;54;-15
"Aidan O'Connell";"LV";"QB";26.3;11015;"10866";"16159";28;183;34;28
"Noah Brown";"HOU";"WR";28.9;1230;"4234";"13172";25;184;71;25
"Joshua Palmer";"LAC";"WR";25.2;2308;"7670";"15319";16;185;72;-2
"Michael Wilson";"ARI";"WR";24.8;9952;"10232";"16206";15;186;73;-101
"Jaylen Wright";"MIA";"RB";21.7;11781;"11643";"16610";14;187;55;14
"Kayshon Boutte";"NE";"WR";22.6;9939;"9504";"16193";3;188;74;3
"Noah Gray";"KC";"TE";25.6;865;"7828";"15337";1;189;26;1